earnings,earnings.top,male,over65,white,immig,educ_r,workmos,workhrs.top,any.ssi,any.welfare,any.charity
73,73,0,0,1,0,4,12,40,0,0,0
55,55,0,0,1,0,3,12,40,0,0,0
30,30,0,0,1,0,2,12,35,0,0,0
14,14,1,0,0,1,2,6,40,0,0,0
10,10,1,0,0,1,1,10,30,0,0,0
0,0,0,0,0,1,4,0,0,0,0,0
NA,NA,0,0,0,0,2,12,40,0,0,0
30,30,0,0,1,0,2,12,35,0,0,0
88,88,0,0,0,1,4,11,40,0,0,0
26,26,1,0,0,0,2,12,37,0,0,0
125,100,0,0,1,0,3,12,40,0,0,0
11.2,11.2,0,0,0,1,3,8,40,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
45,45,0,0,1,0,3,9,40,0,0,0
64.8,64.8,0,0,1,0,2,12,38,0,0,0
332,100,0,0,1,1,4,12,40,0,0,0
21,21,1,0,0,1,4,12,40,0,0,0
3.2,3.2,0,0,0,0,2,8,15,0,0,0
80,80,1,0,0,0,3,12,40,0,0,0
0,0,1,0,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,1,1,4,0,0,0,0,0
6.3,6.3,0,0,0,0,2,12,40,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
19,19,1,0,0,1,3,12,40,0,0,0
1.4,1.4,0,0,0,0,1,3,40,0,0,0
30,30,0,0,0,0,3,9,40,0,0,0
71,71,0,0,0,0,4,12,40,0,0,0
33.6,33.6,0,0,1,0,3,12,40,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
90,90,1,0,1,0,4,12,40,0,0,0
40,40,0,0,0,1,4,12,40,0,0,0
NA,NA,0,0,1,1,1,10,40,0,0,0
NA,NA,1,0,0,1,4,11,10,0,0,0
0,0,0,1,1,0,2,0,0,1,0,0
NA,NA,0,0,0,1,2.5,12,40,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0
35,35,0,0,0,0,3,12,37,0,0,0
60,60,0,0,0,0,4,12,35,0,0,0
35,35,0,0,0,0,4,12,30,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
NA,NA,1,0,0,1,3,10,40,0,0,0
43,43,0,0,0,1,3,12,37,0,0,0
NA,NA,0,0,0,1,3,12,35,0,0,0
0.61,0.61,1,1,1,0,4,3,3,0,0,0
0,0,1,1,0,1,3,0,0,0,0,0
14.4,14.4,0,0,0,1,2,12,40,0,0,0
NA,NA,1,0,0,1,1,4,40,0,0,0
NA,NA,0,0,0,0,4,12,40,0,0,0
82,82,1,0,0,0,4,12,40,0,0,0
NA,NA,0,0,0,1,4,12,40,0,0,0
568,100,0,0,0,0,4,12,16,0,0,0
NA,NA,0,0,1,0,2,12,40,0,0,0
60,60,1,0,1,0,2,12,35,0,0,0
NA,NA,0,0,0,1,1,1,32,0,0,0
24.6,24.6,0,0,0,1,3,12,38,0,0,0
0,0,1,0,0,0,2,0,0,0,0,0
45,45,1,0,0,0,2,12,40,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
140,100,0,0,1,0,3,12,40,0,0,0
0,0,1,0,1,1,2,0,0,0,0,0
39,39,0,0,0,0,3,12,37,0,0,0
6,6,1,0,0,1,1,3,40,0,0,0
158,100,1,0,1,0,4,9,40,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
100,100,0,0,1,0,4,12,40,0,0,0
45,45,0,0,1,1,4,12,40,0,0,0
37,37,1,0,0,1,1,10,40,0,0,0
45,45,1,0,1,0,4,12,40,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0
NA,NA,1,0,1,0,2,11,40,0,0,0
63,63,1,0,1,0,2,12,40,0,0,0
75,75,0,0,1,0,4,12,40,0,0,0
NA,NA,1,0,1,0,3,4,40,0,0,0
13.44,13.44,1,0,0,1,2,12,24,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
NA,NA,0,0,0,0,3,2,40,0,0,0
0,0,1,0,0,1,2,0,0,0,0,0
30,30,1,0,1,1,4,12,30,0,0,0
NA,NA,0,0,0,1,2,12,40,0,0,0
5,5,1,0,1,0,3,1,15,0,0,0
50,50,1,0,0,0,3,12,40,0,0,0
8.4,8.4,1,0,0,0,2,3,30,0,0,0
0,0,0,0,0,1,3,0,0,0,1,0
39,39,1,0,0,0,1,12,35,0,0,0
0.5,0.5,0,0,0,1,3,2,10,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
55,55,1,0,1,0,4,12,40,0,0,0
1.8,1.8,0,1,1,0,4,11,40,0,0,0
21.6,21.6,1,1,0,0,3,12,40,0,0,0
21,21,1,0,0,1,3,12,40,0,0,0
142,100,1,0,1,0,4,12,37,0,0,0
100,100,0,0,0,1,4,12,40,0,0,0
0,0,0,1,1,0,3,0,0,0,0,0
33,33,0,0,1,0,4,12,40,0,0,0
0,0,0,1,0,1,2,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
NA,NA,0,0,0,1,1,10,40,0,0,0
129,100,0,0,0,0,3,12,40,0,0,0
5.76,5.76,1,0,0,1,2,1,40,0,0,0
NA,NA,1,0,0,1,4,12,40,0,0,0
0,0,0,0,1,0,3,0,0,0,0,0
19.2,19.2,1,0,0,0,2,12,40,0,0,0
58,58,0,0,0,0,3,12,40,0,0,0
0,0,0,1,0,1,4,0,0,0,0,0
0,0,1,0,0,1,4,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,0
NA,NA,0,0,0,1,2,11,40,0,0,0
0,0,1,1,0,0,3,0,0,0,0,0
70,70,0,0,1,0,4,9,40,0,0,0
200,100,1,0,1,0,4,12,40,0,0,0
16.5,16.5,1,0,0,1,1,12,40,0,0,0
100,100,1,0,0,0,4,12,40,0,0,0
100,100,1,1,1,0,4,12,35,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
68,68,0,0,0,0,4,12,40,0,0,0
40.8,40.8,0,0,0,0,3,12,40,0,0,0
62,62,1,0,0,1,1,12,40,0,0,0
52,52,0,0,1,0,4,10,32,0,0,0
12,12,1,0,0,1,3,12,40,0,0,0
12.5,12.5,0,0,0,0,3,4,6,0,0,0
78,78,1,0,0,1,4,12,40,0,0,0
28,28,1,0,0,1,1,12,40,0,0,0
90,90,0,0,1,0,2,12,40,0,0,0
NA,NA,0,0,1,0,3,12,16,0,0,0
165,100,0,0,1,0,4,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
30,30,1,0,1,0,4,12,35,0,0,0
600,100,0,0,0,0,4,12,40,0,0,0
6,6,0,0,0,0,1,9,30,0,1,0
NA,NA,0,0,0,0,3,12,35,0,0,0
NA,NA,0,0,1,0,2,12,40,0,0,0
NA,NA,1,0,0,1,4,12,40,0,0,0
10,10,1,0,0,0,1,12,40,0,0,0
0,0,0,0,0,1,3,0,0,0,0,0
42,42,0,0,1,1,4,12,40,0,0,0
12,12,1,0,0,0,2,11,40,0,1,0
22.5,22.5,1,0,0,0,2,12,40,0,0,0
38,38,0,0,0,1,2,12,40,0,0,0
0,0,0,1,0,1,3,0,0,1,0,0
NA,NA,1,1,0,1,4,2,6,0,0,0
72,72,0,0,1,1,4,12,40,0,0,0
5,5,0,0,0,0,3,5,25,0,0,0
NA,NA,1,0,0,1,1,9,40,0,0,0
45,45,0,0,0,0,4,6,40,0,0,0
95,95,1,0,0,1,2,12,40,0,0,0
1.32,1.32,1,0,0,0,2,3,30,0,0,0
29,29,0,0,0,1,2,12,40,0,0,0
50,50,0,0,0,0,2,12,8,0,0,0
165,100,1,0,1,0,4,12,40,0,0,0
35,35,1,0,1,0,4,12,40,0,0,0
62.5,62.5,0,0,1,0,4,12,40,0,0,0
105,100,0,0,1,0,4,12,40,0,0,0
97.5,97.5,0,0,0,1,3,12,40,0,0,0
40,40,0,0,1,0,4,10,30,0,0,0
0,0,0,1,1,1,4,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
0,0,0,0,1,0,3,0,0,0,0,0
0,0,0,1,0,1,2.5,0,0,0,0,0
0,0,1,0,0,0,4,0,0,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0
56,56,0,0,1,0,2,12,40,0,0,0
NA,NA,0,0,0,1,1,10,40,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0
54.2,54.2,0,0,1,1,2,12,40,0,0,0
0,0,0,1,1,1,2,0,0,1,0,0
NA,NA,1,0,0,0,2,12,7,0,0,0
4,4,0,0,1,0,4,6,40,0,0,0
53,53,0,0,1,0,4,12,40,0,0,0
75,75,0,0,0,1,4,12,9,0,0,0
51.6,51.6,1,0,0,1,1,12,40,0,0,0
18,18,0,0,0,1,3,12,40,0,0,0
600,100,0,0,1,0,4,12,35,0,0,0
12,12,1,0,0,1,3,12,40,0,0,0
34,34,0,0,0,0,3,12,40,0,0,0
NA,NA,0,0,0,0,2,12,35,0,0,0
14,14,0,0,0,0,4,7,40,0,0,1
52.5,52.5,1,0,0,1,3,10,40,0,0,0
25,25,0,0,0,0,2,12,37,0,0,0
0,0,0,0,1,0,2,0,0,0,0,0
9.6,9.6,0,0,1,1,2,12,40,0,0,0
1.92,1.92,0,0,0,0,2,3,20,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0
24,24,0,0,0,0,2,12,40,0,0,0
NA,NA,1,0,1,0,2,12,35,0,0,0
40,40,1,0,1,0,3,12,37,0,0,0
35,35,0,0,0,1,2,12,40,0,0,0
5,5,0,0,0,0,2,4,4,0,1,0
22.5,22.5,0,0,0,1,1,12,40,0,0,0
NA,NA,0,0,0,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
450,100,1,0,0,0,4,12,40,0,0,0
NA,NA,1,0,1,0,4,12,40,0,0,0
350,100,0,0,1,0,4,12,40,0,0,0
14.4,14.4,1,1,0,1,1,12,30,0,0,0
35,35,0,0,0,0,3,12,37,0,0,0
62,62,0,0,1,0,4,9,40,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
40,40,0,0,0,1,4,12,37,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
134,100,0,0,0,1,4,12,30,0,0,0
100,100,1,0,1,0,4,12,40,0,0,0
20.14,20.14,0,0,0,1,2,12,40,0,0,0
36,36,0,0,0,0,3,12,32,0,0,0
45,45,0,0,0,0,4,10,40,0,0,0
50,50,1,0,0,1,4,12,40,0,0,0
147,100,0,0,1,0,4,12,35,0,0,0
101,100,0,0,1,0,4,12,40,0,0,0
NA,NA,1,0,0,0,4,12,40,0,0,0
55,55,0,0,0,0,3,12,40,0,0,0
35,35,1,0,0,1,2.5,12,40,0,0,0
NA,NA,1,0,1,0,3,12,40,0,0,0
52,52,0,0,0,1,3,12,40,0,0,0
NA,NA,0,0,0,1,2,12,40,0,0,0
26,26,1,0,0,0,2,12,40,0,0,0
9.984,9.984,0,0,0,1,2,12,40,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
15,15,0,0,0,1,3,12,32,0,0,0
NA,NA,1,0,0,1,4,12,35,0,0,0
100,100,1,0,1,0,4,12,40,0,0,0
0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
0,0,1,1,1,0,4,0,0,0,0,0
50,50,1,1,1,0,3,12,40,0,0,0
NA,NA,0,0,1,0,2,9,25,0,0,0
NA,NA,0,0,1,0,3,11,40,0,0,0
NA,NA,1,0,0,0,4,11,40,0,0,0
0,0,0,1,0,1,4,0,0,0,0,0
NA,NA,1,0,0,1,4,12,40,0,0,0
0,0,0,1,0,0,3,0,0,1,0,0
130,100,0,0,1,0,3,12,35,0,0,0
122,100,0,0,1,0,4,12,35,0,0,0
NA,NA,1,0,0,1,4,12,30,0,0,0
65,65,0,0,0,0,2,12,40,0,0,0
240,100,0,0,1,0,4,12,40,0,0,0
80,80,1,0,1,0,4,12,40,0,0,0
180,100,0,0,1,1,4,12,40,0,0,0
75,75,0,0,0,1,4,9,40,0,0,0
215,100,0,0,0,1,4,12,40,0,0,0
0,0,1,0,0,1,3,0,0,1,0,0
70,70,1,0,0,0,4,12,35,0,0,0
NA,NA,0,0,1,0,3,12,40,0,0,0
12,12,0,0,1,0,4,4,40,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
66,66,0,0,0,1,3,12,40,0,0,0
86,86,0,0,1,0,4,12,35,0,0,0
10.8,10.8,1,0,0,1,1,10,40,0,0,0
35,35,0,0,0,1,4,12,40,0,0,0
35,35,1,0,0,0,2,12,40,0,0,0
0,0,1,0,1,0,3,0,0,1,0,0
40,40,0,0,1,0,3,10,35,0,0,0
NA,NA,0,0,1,1,3,6,26,0,0,0
23,23,0,0,0,0,4,12,40,0,0,0
100,100,1,0,0,1,3,12,40,0,0,0
19.2,19.2,0,0,0,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
95,95,1,0,0,0,4,9,40,0,0,0
NA,NA,0,0,1,0,3,12,40,0,0,0
15,15,1,0,1,0,4,9,30,0,0,0
0,0,0,0,1,0,4,0,0,0,0,0
51.6,51.6,0,0,0,0,2,12,40,0,0,0
17.5,17.5,0,0,0,1,1,12,40,0,0,0
23,23,0,0,0,0,2,12,40,0,0,0
NA,NA,1,0,0,1,3,12,35,0,0,0
10,10,0,0,0,1,3,12,16,0,0,0
33,33,0,0,0,1,3,12,40,0,0,0
1.04,1.04,0,0,0,1,1,2,35,0,1,0
NA,NA,0,0,0,1,1,12,40,0,1,0
23,23,0,0,0,0,2,8,40,0,1,0
8,8,0,0,0,1,3,6,12,0,0,0
7,7,1,0,0,0,2,10,8,0,1,0
42,42,0,0,0,1,4,12,40,0,0,0
NA,NA,1,0,0,0,4,12,40,0,0,0
NA,NA,1,0,1,1,4,12,40,0,0,0
22.08,22.08,1,0,0,1,3,12,40,0,0,0
330,100,1,0,1,0,4,12,40,0,0,0
110,100,1,0,1,0,4,12,40,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
7,7,0,0,0,1,1,12,40,0,0,0
70,70,1,0,1,1,4,8,30,0,0,0
NA,NA,0,1,1,1,2,12,7,0,0,0
9.5,9.5,1,0,1,1,2,12,27,0,0,0
12,12,0,0,0,1,1,12,40,0,0,0
NA,NA,1,0,0,0,2,8,40,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
62,62,0,0,1,0,4,12,40,0,0,0
200,100,0,0,1,0,4,12,40,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
800,100,0,0,1,0,2,12,30,0,0,0
100,100,0,0,1,0,4,12,40,0,0,0
35.5,35.5,0,0,0,0,4,12,40,0,0,0
8.4,8.4,0,0,0,1,1,7,40,0,0,0
0,0,1,0,1,0,3,0,0,1,0,0
0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,1,1,0,3,0,0,0,0,0
NA,NA,1,0,0,1,2,11,40,0,0,0
NA,NA,0,0,0,1,2,12,35,0,0,0
140,100,0,0,0,0,4,12,40,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0
46,46,0,0,0,1,3,12,40,0,0,0
35,35,0,0,0,1,1,12,40,0,0,0
12,12,0,0,0,1,1,2,40,0,0,0
0,0,1,0,1,0,2,0,0,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
72,72,0,0,0,0,1,12,40,0,0,0
NA,NA,0,0,0,1,3,10,35,0,0,0
10,10,0,0,0,0,3,11,35,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
30,30,1,0,0,1,3,12,40,0,0,0
27,27,0,0,0,1,3,12,35,0,0,0
155,100,0,0,1,0,4,12,40,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0
10,10,1,0,0,1,3,12,40,0,0,0
35,35,0,0,0,0,2,12,35,0,0,0
120,100,1,0,0,1,4,12,40,0,0,0
35,35,0,0,0,1,4,12,37,0,0,0
45,45,0,0,1,0,4,12,40,0,0,0
9,9,0,0,1,1,3,11,30,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0
25,25,1,0,0,1,4,12,35,0,0,0
6.4,6.4,0,0,0,0,3,8,20,0,0,0
0,0,0,0,0,0,2,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,0,0
50,50,0,0,0,1,4,12,35,0,0,0
NA,NA,0,0,0,1,3,12,40,0,0,0
160,100,0,0,1,0,4,12,40,0,0,0
140,100,1,0,1,0,3,12,40,0,0,0
3,3,1,0,0,0,2,7,30,0,0,0
NA,NA,0,0,1,0,4,10,40,0,0,0
7.2,7.2,0,0,0,1,2,12,40,0,1,0
3.6,3.6,0,0,0,1,4,6,30,0,0,0
0,0,0,0,1,0,2,0,0,0,0,0
NA,NA,1,0,1,0,4,12,40,0,0,0
52,52,0,0,1,0,3,12,40,0,0,0
400,100,0,0,1,1,4,12,40,0,0,0
0,0,1,0,0,1,2,0,0,0,0,0
35,35,0,0,1,0,3,12,40,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0
35,35,0,0,0,0,2,12,40,0,0,0
85,85,1,0,1,0,4,12,40,0,0,0
150,100,0,1,1,0,4,12,40,0,0,0
0,0,0,0,1,0,4,0,0,0,0,0
40,40,1,0,0,1,4,12,35,0,0,0
NA,NA,1,0,0,1,3,9,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
35,35,0,0,0,1,3,12,40,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
49,49,0,0,0,1,2,12,40,0,0,0
NA,NA,0,0,1,0,2,12,40,0,0,0
0,0,1,0,0,1,2,0,0,0,0,0
100,100,1,1,1,0,4,12,40,0,0,0
NA,NA,0,0,0,1,1,12,12,0,0,0
25.5,25.5,0,0,0,0,3,12,40,0,0,0
0,0,1,0,1,0,4,0,0,0,0,0
9.6,9.6,0,0,0,1,2,6,10,0,0,0
130,100,0,0,1,0,3,12,40,0,0,0
NA,NA,0,0,1,0,2,12,40,0,0,0
54,54,0,0,1,0,2,4,40,0,0,0
95,95,0,0,1,0,4,12,40,0,0,0
0,0,0,1,0,0,3,0,0,0,0,0
30,30,0,0,0,0,2,6,40,1,0,0
112,100,0,0,0,1,2,12,40,0,0,0
2.4,2.4,1,0,0,0,3,12,40,0,0,0
130,100,1,0,1,0,4,12,40,0,0,0
60,60,0,0,0,1,1,12,40,0,0,0
0,0,0,0,1,0,3,0,0,0,0,0
NA,NA,0,0,0,0,3,12,40,0,0,0
3.64,3.64,1,0,0,0,1,7,25,0,0,0
19.2,19.2,0,0,0,0,2,12,40,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0
400,100,0,0,0,0,4,12,40,0,0,0
4.8,4.8,1,0,0,1,1,12,40,0,0,0
23,23,1,0,1,1,2,12,40,0,0,0
93,93,1,0,1,0,4,12,40,0,0,0
NA,NA,0,0,0,1,3,12,40,0,0,0
97,97,0,0,0,0,4,12,40,0,0,0
12,12,0,0,1,0,3,12,40,0,0,0
0,0,0,0,0,1,2,0,0,0,0,0
170,100,0,0,0,1,4,12,40,0,0,0
NA,NA,0,0,1,0,3,12,40,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
66,66,0,0,1,0,2,12,40,0,0,0
NA,NA,1,0,0,1,2,12,40,0,0,0
NA,NA,1,0,0,1,2,10,40,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0
0.6,0.6,0,0,0,1,3,2,10,0,0,0
NA,NA,1,0,1,1,4,12,40,0,0,0
NA,NA,1,0,0,0,2.5,12,40,0,0,0
55,55,0,0,0,0,2,12,40,0,0,0
100,100,0,0,0,1,3,12,40,0,0,0
NA,NA,0,0,0,1,2,9,40,0,0,0
12.5,12.5,0,0,0,1,3,12,40,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0
5,5,0,0,0,0,2,4,40,0,0,0
22,22,1,0,0,1,2,12,40,0,0,0
103,100,0,0,1,1,4,12,40,0,0,0
31,31,0,0,1,0,4,12,40,0,0,0
NA,NA,0,0,0,0,4,3,40,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
35,35,1,0,0,1,3,11,40,0,0,0
7.5,7.5,0,0,0,1,2,12,40,0,0,0
NA,NA,0,0,0,1,3,12,40,0,0,0
12.5,12.5,0,0,0,0,2,12,22,0,0,0
38,38,0,0,0,0,3,8,40,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0
68,68,1,0,1,0,3,12,40,0,0,0
4.8,4.8,0,0,0,1,2,6,40,0,0,0
35,35,0,0,1,0,4,12,40,0,0,0
106,100,0,0,1,1,4,4,40,0,0,0
7.44,7.44,0,0,1,0,2,12,30,0,0,0
0,0,1,0,0,0,3,0,0,0,1,0
0,0,1,0,1,0,2,0,0,0,0,0
70,70,0,0,1,0,2,12,40,0,0,0
24,24,0,0,0,1,4,12,40,0,0,0
NA,NA,1,0,0,0,2,12,40,1,0,0
0,0,0,1,1,1,2,0,0,0,0,0
0,0,1,0,0,0,3,0,0,0,0,0
31.2,31.2,0,0,0,0,2,12,40,1,0,0
2.52,2.52,0,0,0,1,1,7,40,0,0,0
0,0,1,0,0,0,2,0,0,0,0,0
0,0,0,0,1,0,3,0,0,0,0,0
75,75,0,0,1,0,3,3,35,0,0,0
34,34,0,0,0,1,4,12,35,0,0,0
20,20,1,0,0,0,3,12,40,0,0,0
NA,NA,0,0,0,0,3,6,32,0,0,0
140,100,1,0,1,1,4,12,40,0,0,0
24,24,1,0,0,1,1,12,40,0,0,0
50,50,1,0,1,0,4,9,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
0,0,0,0,0,0,2,0,0,1,1,0
0,0,0,1,0,0,4,0,0,0,0,0
63,63,1,0,0,0,3,12,40,0,0,0
0,0,1,1,0,0,2,0,0,0,0,0
0,0,0,1,0,0,2.5,0,0,0,0,0
0,0,0,0,1,0,3,0,0,0,0,0
0,0,1,1,0,0,2,0,0,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
70,70,1,0,1,1,3,12,40,0,0,0
NA,NA,1,0,1,0,4,12,40,0,0,0
77,77,1,0,0,0,3,12,40,0,0,0
7.5,7.5,0,0,1,0,3,12,40,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
69,69,0,0,1,0,4,12,40,0,0,0
500,100,1,0,1,0,4,12,40,0,0,0
30,30,1,0,0,0,2,12,40,0,0,0
40,40,1,0,0,0,1,12,40,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0
60,60,1,0,0,1,4,12,40,0,0,0
112,100,1,0,0,0,3,12,40,0,0,0
37,37,0,0,1,0,2,12,40,0,0,0
110,100,0,0,1,0,3,9,40,0,0,0
117.5,100,0,0,0,1,4,12,40,0,0,0
NA,NA,0,0,0,1,2,4,40,0,0,0
10.8,10.8,0,0,0,0,2,12,36,0,1,0
64,64,0,0,0,1,3,12,40,0,0,0
50,50,0,0,1,0,4,12,40,0,0,0
0,0,0,0,0,0,2,0,0,1,1,1
66,66,0,0,0,0,3,12,40,0,0,0
23,23,0,0,0,0,3,12,35,0,0,0
139,100,1,0,1,0,2,12,40,0,0,0
0,0,0,0,1,0,3,0,0,0,0,0
47.5,47.5,0,0,1,0,3,12,40,0,0,0
NA,NA,1,0,0,0,3,10,40,0,0,0
6,6,0,0,0,0,3,12,40,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
NA,NA,0,0,0,1,2,12,40,0,0,0
69,69,0,0,0,0,4,12,5,0,0,0
4.7,4.7,1,0,0,0,1,12,40,0,0,0
150,100,1,0,1,0,2,12,40,0,0,0
280,100,0,0,1,0,4,12,40,0,0,0
20,20,1,0,0,1,1,12,40,0,0,0
200,100,0,0,1,0,4,12,40,0,0,0
145,100,0,0,1,0,4,12,40,0,0,0
90,90,0,0,0,0,3,12,40,0,0,0
0,0,0,1,0,0,3,0,0,1,1,0
41,41,0,0,0,0,2,12,40,0,0,0
115,100,1,0,1,0,3,12,40,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
17.5,17.5,0,0,0,0,2,3,40,0,1,0
NA,NA,0,0,1,1,2,10,40,0,0,0
111,100,0,0,0,0,2,12,40,0,0,0
51,51,0,0,0,0,3,12,40,0,0,0
26,26,0,0,0,1,4,12,40,0,0,0
56,56,0,0,1,1,4,12,40,0,0,0
NA,NA,0,0,0,1,1,12,40,1,0,0
53,53,1,0,0,1,1,9,40,0,0,0
NA,NA,0,0,0,0,2,12,20,0,0,0
90,90,1,0,1,0,4,12,40,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0
NA,NA,0,0,0,1,1,12,40,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
NA,NA,0,0,0,0,1,12,40,0,1,0
100,100,0,0,1,0,4,12,40,0,0,0
27.5,27.5,1,0,1,1,3,12,9,0,0,0
50,50,0,0,1,0,4,12,40,0,0,0
27,27,1,0,0,1,4,10,40,0,0,0
15,15,0,0,0,1,1,6,32,0,0,0
NA,NA,0,0,0,1,2,12,40,0,0,0
31.44,31.44,0,0,0,0,2,12,40,0,0,0
147,100,0,0,0,0,4,11,37,0,0,0
15,15,0,0,0,0,3,12,40,0,0,0
35,35,0,0,0,0,2,7,40,0,0,0
87,87,0,0,0,0,3,12,40,0,0,0
41,41,1,0,0,1,1,12,40,0,0,0
43,43,0,0,1,0,4,5,35,0,0,0
43.8,43.8,0,0,0,0,4,12,30,0,0,0
17.76,17.76,0,0,0,1,1,12,40,0,0,0
32,32,0,0,0,1,3,12,36,0,0,0
60,60,1,0,0,0,2,12,36,0,0,0
0,0,0,0,0,1,2.5,0,0,0,0,0
66,66,0,0,0,0,2,9,40,0,0,0
50,50,1,0,0,0,2,10,35,0,0,0
37,37,0,0,0,0,4,12,40,0,0,0
124,100,1,0,0,1,3,12,40,0,0,0
60,60,1,0,1,1,1,12,40,0,0,0
65,65,0,0,0,0,4,12,37,0,0,0
NA,NA,0,0,1,0,2,12,40,0,0,0
60,60,0,0,0,0,3,12,40,0,0,0
23,23,0,0,0,0,2,12,35,0,0,0
62.8,62.8,0,0,0,0,4,12,40,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
18,18,0,0,0,0,3,12,40,0,0,0
16.32,16.32,0,0,0,1,1,11,40,0,0,0
60,60,1,0,1,0,1,12,40,0,0,0
NA,NA,1,0,0,1,3,12,40,0,0,0
7.5,7.5,0,0,0,1,4,12,30,0,0,0
72,72,1,0,0,0,2,12,40,0,0,0
35,35,0,0,1,1,2,12,40,0,0,0
NA,NA,1,0,0,1,3,12,20,0,0,0
19.2,19.2,1,0,0,1,2.5,12,40,0,0,0
50,50,1,0,0,0,4,12,25,0,0,0
26,26,0,0,0,0,2,12,40,0,0,0
37,37,0,0,0,0,3,12,40,0,0,0
NA,NA,1,0,0,0,4,12,40,0,0,0
27.5,27.5,0,0,0,0,1,11,40,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0
8,8,0,0,0,0,3,5,30,1,0,0
20,20,0,0,1,1,3,10,40,0,0,0
35,35,1,0,0,0,3,12,40,0,0,0
24,24,1,0,0,0,4,12,40,0,1,0
7.2,7.2,0,0,1,0,2,6,40,0,1,0
NA,NA,0,0,1,1,4,12,40,0,0,0
10.4,10.4,0,0,0,1,2,12,16,0,0,0
80,80,0,0,0,1,3,12,40,0,0,0
NA,NA,0,0,0,0,1,1,40,0,1,0
17.5,17.5,0,0,1,0,2,1,40,0,0,0
30,30,1,0,0,1,2,11,38,0,0,0
3.54,3.54,0,0,0,1,1,3,40,0,1,0
90,90,1,0,0,1,4,12,40,0,0,0
11.592,11.592,0,0,0,1,1,12,40,0,0,0
33,33,0,0,0,0,4,12,37,0,0,0
140,100,0,0,0,1,4,12,40,0,0,0
50,50,0,0,0,0,4,12,40,0,0,0
14,14,0,0,0,1,1,11,40,0,0,0
3.6,3.6,0,0,0,1,3,12,30,0,0,0
19,19,0,0,0,0,3,10,40,0,0,0
